year,donor,type_donor,amount_nominal,issue_area
2006,Spain,public,4678975.291,Peace
2008,Iraq,public,28661.05044,Peace
2000,Benetton (ITA),private,22336,Humanitarian Law and Action
2000,Hungary,public,181067,Humanitarian Law and Action
2017,Egypt,public,11572.14642,"Labour, Economic Affairs, Science"
2008,Slovakia,public,229563.5635,"Labour, Economic Affairs, Science"
2004,Gabon,public,1995.181327,"Labour, Economic Affairs, Science"
2020,Ireland,public,1562088.412,"Labour, Economic Affairs, Science"
2003,Germany,public,27440564.04,"Labour, Economic Affairs, Science"
2010,Ireland,public,1465536,Humanitarian Law and Action
2017,Japan Tobacco International SA,private,210693,"Labour, Economic Affairs, Science"
2002,Switzerland,public,64.15985556,Humanitarian Law and Action
2012,France,public,23642072.38,"Labour, Economic Affairs, Science"
2017,Kazakhstan,public,11572.14642,"Labour, Economic Affairs, Science"
2012,Gabon,public,43514.65952,"Labour, Economic Affairs, Science"
2018,Indonesia,public,1400000,Health
2006,Samoa,public,4470,Health
2018,Andorra,public,6173,Humanitarian Law and Action
2018,Association for Reproductive and Family Health (ARFH),private,221000,Health
2004,Iceland,public,60000,Humanitarian Law and Action
2015,France,public,2781055.528,Humanitarian Law and Action
2008,Norway,public,5649484,Humanitarian Law and Action
2017,Kantonale St. Gallische Winkelriedstiftung,private,15233.18967,Humanitarian Law and Action
2006,Democratic Republic of the Congo,public,5570.214638,Peace
2006,United Kingdom,public,78054274.74,Humanitarian Law and Action
2019,Denmark,public,11723058,Humanitarian Law and Action
2004,NA,private,5174435,Humanitarian Law and Action
2010,Armenia,public,27241.18952,"Labour, Economic Affairs, Science"
2019,African Field Epidemiology Network (AFENET),private,241500,Health
2020,Oman,public,563221,Health
2020,European Union,public,73200000,Health
2014,Italy,public,61224,Humanitarian Law and Action
2019,Ukraine,public,950000,Health
2017,Lebanon,public,205644,Health
2016,Cameroon,public,11312.22638,"Labour, Economic Affairs, Science"
2019,"Pilipinas Shell Foundation, Inc.",private,204000,Health
2019,Indonesia,public,1540570.701,Peace
2002,Croatia,public,42567.43635,Peace
2010,Zimbabwe,public,6355.573244,Peace
2017,NA,private,2269759,"Labour, Economic Affairs, Science"
2009,Norway,public,4390054,Humanitarian Law and Action
2008,Senegal,public,7642.891067,Peace
2017,Food and Agriculture Organization (FAO),public,42992.12343,Humanitarian Law and Action
2021,Sri Lanka,public,5000,Health
2007,Japan,public,86937160,Health
2018,Burkina Faso,public,29988.25013,"Labour, Economic Affairs, Science"
2017,Dayone Response Inc,private,5500,Health
2009,Australia,public,6484990.929,"Labour, Economic Affairs, Science"
2003,Nikko-I International Trust,private,24029.98253,Humanitarian Law and Action
2017,Switzerland,public,152505234.1,Humanitarian Law and Action
2012,Garment Manufacturers Association of Cambodia,private,313489,"Labour, Economic Affairs, Science"
2004,Sweden,public,34203165.91,Humanitarian Law and Action
2002,Switzerland,public,599408,Humanitarian Law and Action
2000,Yemen,public,10073.76056,Humanitarian Law and Action
2020,Liechtenstein,public,24272.14971,"Labour, Economic Affairs, Science"
2010,Burundi,public,1365.415483,"Labour, Economic Affairs, Science"
2002,Netherlands,public,8087000,Health
2019,Hong Kong University of Science and Technology,private,46432.03945,Humanitarian Law and Action
2004,Papua New Guinea,public,38685.28729,"Labour, Economic Affairs, Science"
2013,Togo,public,1536.297179,"Labour, Economic Affairs, Science"
2016,Ecuador,public,5000,Humanitarian Law and Action
2000,Belgium,public,884040,Humanitarian Law and Action
2016,China,public,18193078.1,"Labour, Economic Affairs, Science"
2018,Chad,public,1456.206929,"Labour, Economic Affairs, Science"
2020,Mr. Michael David Lincoln Chowen CBE DL,private,90000,Health
2012,Kazakhstan,public,34612.93997,Humanitarian Law and Action
2005,Denmark,public,3416107,Health
2015,Namibia,public,15529.1927,Humanitarian Law and Action
2017,United States,public,275000000,Health
2011,Seychelles,public,3208.181595,"Labour, Economic Affairs, Science"
2016,South Korea,public,22572250,Humanitarian Law and Action
2005,Paraguay,public,5802,Health
2012,Argentina,public,30196597,Humanitarian Law and Action
2016,Japan Tobacco International SA,private,821,"Labour, Economic Affairs, Science"
2017,Indonesia,public,1828546.388,"Labour, Economic Affairs, Science"
2018,Canada,public,2350000,Health
2020,Alwaleed Philanthropies,private,407500,Health
2016,Malawi,public,49.72630237,"Labour, Economic Affairs, Science"
2017,China,public,1000000,Health
2002,Switzerland,public,128.3197111,Humanitarian Law and Action
2020,Al Ansari,private,300000,Health
2020,UN,public,5300000,Health
2013,Iraq,public,6146.267575,"Labour, Economic Affairs, Science"
2019,Seqirus,private,3086500,Health
2019,Australia,public,6270094.586,Peace
2006,Libya,public,16263.59919,"Labour, Economic Affairs, Science"
2005,Kenya,public,59153.03607,"Labour, Economic Affairs, Science"
2002,Mexico,public,2656777.494,"Labour, Economic Affairs, Science"
2010,Central Fund for Influenza Action,public,1235045,Humanitarian Law and Action
2009,Spain,public,7554078.813,Peace
2002,Antigua and Barbuda,public,13675.67321,"Labour, Economic Affairs, Science"
2019,Malaysia,public,29000,Health
2019,Chile,public,735750.044,"Labour, Economic Affairs, Science"
2010,UN,public,10179074,Humanitarian Law and Action
2019,DNDI,public,107000,Health
2014,Holy See,public,12437.90598,"Labour, Economic Affairs, Science"
2018,Indonesia,public,1809291.091,"Labour, Economic Affairs, Science"
2016,Ireland,public,1899486,Health
2007,Iceland,public,378616,Humanitarian Law and Action
2011,Azerbaijan,public,10000,Humanitarian Law and Action
2019,Morocco,public,259539,Health
2019,United States,public,590427322,Humanitarian Law and Action
2003,Poland,public,50000,Humanitarian Law and Action
2008,Liechtenstein,public,392949,Humanitarian Law and Action
2010,El Salvador,public,2182.363511,"Labour, Economic Affairs, Science"
2013,El Salvador,public,42054.11122,Peace
2003,Hungary,public,476252.5703,"Labour, Economic Affairs, Science"
2016,BASF Corporation,private,156500,Health
2011,Odeon Foundation,private,24041.65569,Humanitarian Law and Action
2007,Montenegro,public,10645.91966,Humanitarian Law and Action
2017,Innovation Norway,private,54500,Health
2011,Romania,public,143000,Health
2015,Botswana,public,2960.366009,"Labour, Economic Affairs, Science"
2019,Mexico,public,3743669.342,"Labour, Economic Affairs, Science"
2011,Saudi Arabia,public,2459266.566,"Labour, Economic Affairs, Science"
2012,NA,private,3927743,Humanitarian Law and Action
2014,Niger,public,32008.91556,"Labour, Economic Affairs, Science"
2017,Japanese Association of Psychiatric Hospitals,private,75000,Health
2014,Saint Lucia,public,2810.916188,Peace
2009,Estonia,public,104760,Humanitarian Law and Action
2000,Tunisia,public,101949.0859,"Labour, Economic Affairs, Science"
2016,Yemen,public,20.29644995,"Labour, Economic Affairs, Science"
2019,Nauru,public,2837.221737,Peace
2018,Saint Lucia,public,29988.25013,"Labour, Economic Affairs, Science"
2003,Costa Rica,public,58372.21374,Humanitarian Law and Action
2005,Switzerland,public,141.345367,Humanitarian Law and Action
2008,Bhutan,public,16622.81066,Humanitarian Law and Action
2017,Hindustan Syringes & Medical Devices Ltd. (HMD),private,3000,Health
2017,Nicaragua,public,4073.354917,Humanitarian Law and Action
2001,Cameroon,public,9356.438777,Peace
2004,Tunisia,public,80730.45671,"Labour, Economic Affairs, Science"
2016,Sri Lanka,public,116130,Health
2010,Botswana,public,52191.66445,"Labour, Economic Affairs, Science"
2012,Algeria,public,493990.5128,"Labour, Economic Affairs, Science"
2019,Bolivia,public,2866.846117,"Labour, Economic Affairs, Science"
2004,Saint Kitts and Nevis,public,1745.078338,Peace
2010,Thailand,public,20000,Humanitarian Law and Action
2017,International Pharmaceutical Federation (FIP),public,19500,Health
2016,International Pharmaceutical Federation (FIP),public,19500,Health
2020,Robert Koch Institute (RKI),private,120000,Health
2012,Ukraine,public,335759.1683,"Labour, Economic Affairs, Science"
2012,Tonga,public,31081.89966,"Labour, Economic Affairs, Science"
2020,Singapore,public,2042083.513,"Labour, Economic Affairs, Science"
2018,Jhpiego Corporation,private,132500,Health
2014,Hong Kong,public,5405238.874,"Labour, Economic Affairs, Science"
2016,Azerbaijan,public,11563.90236,"Labour, Economic Affairs, Science"
2017,China,public,35411951,Health
2018,Poland,public,543005,Humanitarian Law and Action
2003,Iceland,public,126746.5,Health
2007,Malta,public,62520,Health
2021,WHO,public,125000,Health
2016,Kiribati,public,1445.107236,"Labour, Economic Affairs, Science"
2010,Micronesia (Federated States of),public,2118.524415,Peace
2017,Fondation d'Entreprise Sanofi Espoir,private,2200000,Health
2017,Namibia,public,5559.098683,Humanitarian Law and Action
2006,Thailand,public,225458.0518,Humanitarian Law and Action
2019,Monaco,public,666438,Humanitarian Law and Action
2018,NA,NA,37606748.46,"Labour, Economic Affairs, Science"
2010,Bulgaria,public,225829,Humanitarian Law and Action
2010,Cote d'Ivoire,public,100992,Humanitarian Law and Action
2003,Denmark,public,2903079,Humanitarian Law and Action
2019,Thailand,public,335013,Humanitarian Law and Action
2019,Green Cross Corporation,private,256671.5,Health
2016,South Sudan,public,18580,Health
2019,Mauritius,public,57410,Health
2002,Niger,public,630.0497816,"Labour, Economic Affairs, Science"
2016,Congo,public,91262.98719,"Labour, Economic Affairs, Science"
2005,Mexico,public,120000,Humanitarian Law and Action
2015,Spain,public,9983501,Humanitarian Law and Action
2006,Japan,public,5690901.492,Humanitarian Law and Action
2014,Honduras,public,22486.99906,Peace
2019,Niger,public,141000,Health
2006,Brazil,public,2827809.252,Peace
2012,NA,public,867372992,Health
2004,Egypt,public,428595,Health
2021,International Development Law Organization,private,82000,Health
2015,Cuba,public,206232.2505,Peace
2017,UN,public,800000,Health
2014,Thailand,public,12437.90598,"Labour, Economic Affairs, Science"
2007,Antigua and Barbuda,public,4353.532145,Peace
2010,Turkey,public,26000,Humanitarian Law and Action
2020,European Union,public,9250000,Health
2017,Malta,public,74320,Health
2019,Armenia,public,19860.04339,Peace
2011,Kuwait,public,500000,Health
2016,IOM,public,138747,Humanitarian Law and Action
2017,Zambia,public,32520,Health
2020,Australia,public,1315559.248,Humanitarian Law and Action
2018,Bahamas,public,7827.112241,Humanitarian Law and Action
2016,Unites States Council Foundation,private,7808,"Labour, Economic Affairs, Science"
2016,Denmark,public,3367000,Health
2008,Switzerland,public,27698.52921,Humanitarian Law and Action
2007,Cameroon,public,19590.94905,Peace
2000,Loosco Foundation,private,2656,Humanitarian Law and Action
2014,Ireland,public,1736506.318,"Labour, Economic Affairs, Science"
2010,NA,private,73784214.49,"Labour, Economic Affairs, Science"
2017,UN,public,431500,Health
2018,NA,private,1495558,Humanitarian Law and Action
2017,European Union,public,4296455,Humanitarian Law and Action
2015,Togo,public,2964.522367,Humanitarian Law and Action
2020,Russian Federation,public,6865207.009,Peace
2007,Colombia,public,228561.036,Peace
2020,Spain,public,12151827.41,Humanitarian Law and Action
2010,Czech Republic,public,975406,Humanitarian Law and Action
2016,Liechtenstein,public,115593,Humanitarian Law and Action
2003,Philippines,public,2410,Humanitarian Law and Action
2013,Spain,public,2649357.431,Humanitarian Law and Action
2016,Bangladesh,public,25393.75462,Peace
2008,Saint Kitts and Nevis,public,1910.722767,Peace
2019,Latter-Day Saints (LDS) Charities,private,22000,Health
2013,Thailand,public,96233.26688,Humanitarian Law and Action
2021,Nippon Foundation,private,47500,Health
2003,Malta,public,42786.88391,"Labour, Economic Affairs, Science"
2001,National ICRC Societies,private,42880389.19,Humanitarian Law and Action
2014,Georgia,public,25000,Humanitarian Law and Action
2011,Costa Rica,public,11329,Humanitarian Law and Action
2019,Uruguay,public,246831.7788,Peace
2017,Italy,public,16980925,Humanitarian Law and Action
2001,Belgium,public,291561.1677,Humanitarian Law and Action
2019,Costa Rica,public,14475,Humanitarian Law and Action
2018,Probitas Fundacion Privada,private,20000,Health
2001,Burkina Faso,public,2079.253291,Peace
2005,Qatar,public,209040,Health
2003,Mozambique,public,4100.5,Health
2011,Norway,public,68733806.51,Humanitarian Law and Action
2018,Holy See,public,1199906.328,Humanitarian Law and Action
2007,Guatemala,public,96237.31429,"Labour, Economic Affairs, Science"
2019,Greece,public,611813.5393,"Labour, Economic Affairs, Science"
2000,Bosnia and Herzegovina,public,10510,Health
2013,NA,private,5128873,Humanitarian Law and Action
2018,Saudi Arabia,public,2530438.713,Humanitarian Law and Action
2017,NA,private,2316129,Humanitarian Law and Action
2019,Cyprus,public,22002,Humanitarian Law and Action
2014,Turkey,public,120000,Humanitarian Law and Action
2019,Fondation Lombard Odier,private,503131.9967,Humanitarian Law and Action
2003,Malawi,public,8177,Health
2014,Nicaragua,public,8432.528272,Peace
2019,Switzerland,public,30187.9198,Humanitarian Law and Action
2008,United States,public,8350932.056,Humanitarian Law and Action
2006,Chile,public,71326.31438,Humanitarian Law and Action
2002,Bolivia,public,23704.50024,"Labour, Economic Affairs, Science"
2017,"Hyogo Earthquake Memorial 21St Century Research Institute (HEMRI), Japan",private,4500,Health
2013,Philippines,public,9156,Humanitarian Law and Action
2018,Slovakia,public,363002,Humanitarian Law and Action
2013,Norway,public,491733.7718,"Labour, Economic Affairs, Science"
2001,New Zealand,public,421444.4645,Humanitarian Law and Action
2010,Peru,public,789.1411115,"Labour, Economic Affairs, Science"
2018,Lithuania,public,432259,Humanitarian Law and Action
2013,Mozambique,public,44292.61283,"Labour, Economic Affairs, Science"
2019,Iceland,public,76722.59817,"Labour, Economic Affairs, Science"
2019,Bahrain,public,247873.0095,"Labour, Economic Affairs, Science"
2011,Spain,public,5725890.217,"Labour, Economic Affairs, Science"
2007,Brazil,public,1311233.407,"Labour, Economic Affairs, Science"
2004,Malta,public,42801.90688,"Labour, Economic Affairs, Science"
2019,United Arab Emirates,public,11466.3782,"Labour, Economic Affairs, Science"
2020,European Union,public,38100000,Health
2011,Colombia,public,439221.3431,"Labour, Economic Affairs, Science"
2019,Sweden,public,2200000,Health
2019,Georgia,public,4520.137858,Humanitarian Law and Action
2003,Belgium,public,342292.8435,Humanitarian Law and Action
2011,Canada,public,58543383,Humanitarian Law and Action
2016,American Leprosy Missions (ALM),private,22000,Health
2014,Eswatini (formerly known as Swaziland),public,32008.91556,"Labour, Economic Affairs, Science"
2013,Ukraine,public,40082.89963,Humanitarian Law and Action
2004,Ghana,public,10000,Humanitarian Law and Action
2014,Nicaragua,public,51214.2649,"Labour, Economic Affairs, Science"
2009,China,public,2000000,Health
2007,Libya,public,134959.8229,Peace
2017,San Marino,public,11539.64895,"Labour, Economic Affairs, Science"
2018,University of Antwerp,private,45000,Health
2017,Monaco,public,32369,Humanitarian Law and Action
2013,Denmark,public,491733.7718,"Labour, Economic Affairs, Science"
2004,Felis Stiftung,private,11026.97556,Humanitarian Law and Action
2011,Switzerland,public,224973.3441,Health
2005,The Prince Foundation,private,17537.26579,Humanitarian Law and Action
2006,Sinitus AG,private,152931,Humanitarian Law and Action
2006,United Arab Emirates,public,696094.3276,"Labour, Economic Affairs, Science"
2017,Togo,public,2569.065932,Peace
2004,Astra Zeneca AG,private,10145394.92,Humanitarian Law and Action
2003,Haiti,public,109,Humanitarian Law and Action
2020,Leonard Cheshire Disability,private,112955,"Labour, Economic Affairs, Science"
2011,Namibia,public,18824.3708,Peace
2020,Cook Islands,public,4210.268454,"Labour, Economic Affairs, Science"
2016,Sharda Cropchem Limited,private,12456.5,Health
2013,"Social Fund for Development, Yemen",private,35480,"Labour, Economic Affairs, Science"
2020,Ireland,public,2601133,Humanitarian Law and Action
2013,Greece,public,993420.0306,"Labour, Economic Affairs, Science"
2017,Eswatini (formerly known as Swaziland),public,5138.131863,Peace
2018,Ireland,public,187130.7713,Humanitarian Law and Action
2002,Niger,public,13675.67321,"Labour, Economic Affairs, Science"
2016,HRH Princess Haya Bint Al Hussein HRH,private,22000,Health
2009,Mozambique,public,2545.157942,Peace
2004,Zimbabwe,public,31820,Health
2000,NA,private,1150929,Humanitarian Law and Action
2018,India,public,1822862.41,Peace
2002,Chile,public,204105.5259,Peace
2019,Light for the World International,private,12000,Health
2000,Kenya,public,29365,Health
2017,South Africa,public,347156.2682,"Labour, Economic Affairs, Science"
2020,China,public,1000000,Health
2015,Algeria,public,68141.41177,Humanitarian Law and Action
2020,Ireland,public,19004,Health
2016,Bulgaria,public,93742.19855,Humanitarian Law and Action
2001,Monaco,public,4158.406066,Peace
2005,Czech Republic,public,395741.5985,Peace
2000,NA,private,25534.04905,Humanitarian Law and Action
2008,Netherlands,public,1470754.777,Health
2009,Greece,public,1516924.163,Peace
2018,Tanzania,public,97961.61709,"Labour, Economic Affairs, Science"
2014,Croatia,public,63383.65619,Humanitarian Law and Action
2017,United Kingdom,public,41100000,Health
2016,Gambia,public,29759.66974,"Labour, Economic Affairs, Science"
2012,Ireland,public,3483620,Health
2012,Holy See,public,20000,Humanitarian Law and Action
2019,Luxembourg,public,10361584,Humanitarian Law and Action
2005,Finland,public,9175057.04,Humanitarian Law and Action
2019,European Union,public,4630000,Health
2010,Suriname,public,3728.044522,"Labour, Economic Affairs, Science"
2013,Denmark,public,4910084,Humanitarian Law and Action
2010,Israel,public,98748.11344,Humanitarian Law and Action
2014,Nicaragua,public,4447.956723,Humanitarian Law and Action
2020,Bernard Van Leer Foundation (BVL),private,30500,Health
2020,Norway,public,81588043.01,Health
2019,Hungary,public,616115.3179,"Labour, Economic Affairs, Science"
2002,Iceland,public,41027.01964,"Labour, Economic Affairs, Science"
2001,Colombia,public,318143,Humanitarian Law and Action
2009,United Arab Emirates,public,30054000,Humanitarian Law and Action
2012,China,public,364559.9157,"Labour, Economic Affairs, Science"
2018,Yemen,public,24733.5769,Peace
2011,Somalia,public,2353.058873,Peace
2003,Bahamas,public,3000,Humanitarian Law and Action
2000,Palau,public,1057.317285,Peace
2006,Australia,public,12707604.54,Humanitarian Law and Action
2012,Gates Foundation,private,7500000,Health
2014,Djibouti,public,32008.91556,"Labour, Economic Affairs, Science"
2013,UN,public,70436138,Humanitarian Law and Action
2018,Bulgaria,public,220086.6566,Humanitarian Law and Action
2020,Seqirus,private,3245500,Health
2008,Bahamas,public,9133.128364,Humanitarian Law and Action
2003,Ukraine,public,70334.28658,Peace
2008,Chile,public,307629.1861,Peace
2014,Switzerland,public,453540.9556,Humanitarian Law and Action
2007,Myanmar,public,46614.94911,"Labour, Economic Affairs, Science"
2019,Angola,public,28371.50509,Peace
2014,Mexico,public,5177628.092,Peace
2010,Brazil,public,52649.04028,"Labour, Economic Affairs, Science"
2004,Madagascar,public,12880,Health
2018,Thailand,public,1131697.759,"Labour, Economic Affairs, Science"
2014,Cambodia,public,8371.982348,Humanitarian Law and Action
2017,Taiwan,public,3047577.314,"Labour, Economic Affairs, Science"
2011,Hungary,public,26281,Humanitarian Law and Action
2009,Romania,public,491613.227,"Labour, Economic Affairs, Science"
2018,South Korea,public,349573.5175,"Labour, Economic Affairs, Science"
2002,NA,private,194,Humanitarian Law and Action
2000,United States,public,30185618.55,Peace
2012,Latvia,public,12152.28158,"Labour, Economic Affairs, Science"
2009,Estonia,public,17975,Humanitarian Law and Action
2019,UN,public,475500,Health
2015,Panama,public,23921.91866,Humanitarian Law and Action
2014,Denmark,public,2804166.562,"Labour, Economic Affairs, Science"
2003,UN,public,121000.9126,Humanitarian Law and Action
2013,Cambodia,public,6045.933559,Humanitarian Law and Action
2002,Italy,public,108619000,Health
2002,Zimbabwe,public,32205,Health
2010,France,public,4564439,Humanitarian Law and Action
2008,Botswana,public,57488.29737,"Labour, Economic Affairs, Science"
2017,Hong Kong,public,5237465.116,"Labour, Economic Affairs, Science"
2018,Geneva Academy,private,21561,Humanitarian Law and Action
2016,Turkey,public,1997865.828,"Labour, Economic Affairs, Science"
2014,NA,private,4757,Humanitarian Law and Action
2009,France,public,1918159,Humanitarian Law and Action
2021,International Development Law Organization,private,64000,Health
2010,NA,private,327,Humanitarian Law and Action
2002,Honduras,public,4419.97245,Humanitarian Law and Action
2008,Iran,public,746.01372,"Labour, Economic Affairs, Science"
2019,Nicaragua,public,2866.846117,"Labour, Economic Affairs, Science"
2019,Greece,public,266500.9685,Humanitarian Law and Action
2008,Tajikistan,public,608.4443583,Humanitarian Law and Action
2004,Uruguay,public,800.5,Health
2019,Canada,public,17150000,Health
2007,Thailand,public,20000,Humanitarian Law and Action
2001,Central African Republic,public,11812.52833,"Labour, Economic Affairs, Science"
2020,Uganda,public,1516.676519,"Labour, Economic Affairs, Science"
2018,Kazakhstan,public,106680.4515,Humanitarian Law and Action
2018,Cyprus,public,167226.5496,"Labour, Economic Affairs, Science"
2019,Canada,public,154000,Health
2018,South Sudan,public,14350,Health
2019,GlaxoSmithKline (GSK),private,119500,Health
2016,Oil Search Health Foundation,public,111500,Health
2017,The Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH),private,950000,Health
2016,NA,private,3532,Humanitarian Law and Action
2006,Armenia,public,5924.984228,"Labour, Economic Affairs, Science"
2017,Italy,public,2500,Health
2007,Kenya,public,21767.76952,Peace
2015,Yemen,public,95.59623476,Humanitarian Law and Action
2002,Sacred Heart Women<U+2019>s University (JPN),private,13507,Humanitarian Law and Action
2016,Bolivia,public,4.05928999,"Labour, Economic Affairs, Science"
2007,Liberia,public,2176.820471,Peace
2010,Saudi Arabia,public,6000000,Health
2020,Iceland,public,16693.02744,Humanitarian Law and Action
2009,Cyprus,public,113847.2736,"Labour, Economic Affairs, Science"
2019,OPEC,public,38000,Health
2016,United Arab Emirates,public,112700,Humanitarian Law and Action
2016,Latvia,public,11563.90236,"Labour, Economic Affairs, Science"
2019,New Venture Fund (NVF),private,1000,Health
2017,Philippines,public,634669.521,"Labour, Economic Affairs, Science"
2019,Italy,public,687967.5983,"Labour, Economic Affairs, Science"
2008,UN,public,45679720,Humanitarian Law and Action
2005,China,public,250000,Humanitarian Law and Action
2011,Kenya,public,5390.510809,Humanitarian Law and Action
2017,United States,public,194786.5,Health
2001,Djibouti,public,1039.626645,Peace
2018,UN,public,6854732,Humanitarian Law and Action
2019,Spotlight Initiative to eliminate violence against women and girls,public,1586396,Humanitarian Law and Action
2017,Spain,public,10119894,Humanitarian Law and Action
2018,Hong Kong,public,26000,Health
2000,Sweden,public,258551.5646,Humanitarian Law and Action
2021,Switzerland,public,7800000,Health
2015,Sweden,public,7706535,Humanitarian Law and Action
2015,Costa Rica,public,33411.92314,Humanitarian Law and Action
2004,Andorra,public,43172.63586,Humanitarian Law and Action
2009,UN,public,40376,Humanitarian Law and Action
2007,San Marino,public,41653.96221,Humanitarian Law and Action
2002,Philippines,public,110238.8009,Peace
2020,NA,private,3917080,Humanitarian Law and Action
2008,Syria,public,30571.87767,Peace
2020,UN,public,900000,Health
2018,Switzerland,public,699148.0576,"Labour, Economic Affairs, Science"
2017,Netherlands,public,6625777,Health
2017,UCB SA,private,281000,Health
2000,Brazil,public,1555296.338,Peace
2009,Qatar Charitable Society (QAT),private,250000,Humanitarian Law and Action
2021,Population Services International (PSI),private,247500,Health
2020,Slovenia,public,319996.3787,"Labour, Economic Affairs, Science"
2009,Guatemala,public,23077986,Humanitarian Law and Action
2005,Cuba,public,92988.49224,Peace
2013,Burundi,public,2628.401291,Peace
2017,CDC Foundation,private,1500000,Health
2008,Spain,public,36059344,Humanitarian Law and Action
2000,South Korea,public,200266.0993,Humanitarian Law and Action
2006,Eswatini (formerly known as Swaziland),public,3713.476425,Peace
2002,Ghana,public,75.06703101,"Labour, Economic Affairs, Science"
2019,NA,private,728735,Humanitarian Law and Action
2008,Charities Aid Foundation,private,306517,Humanitarian Law and Action
2003,Saudi Arabia,public,2500000,Health
2010,Monaco,public,28860,Humanitarian Law and Action
2019,South Korea,public,343983.296,"Labour, Economic Affairs, Science"
2003,Palau,public,1327.136194,Peace
2012,Kenya,public,3038.337009,"Labour, Economic Affairs, Science"
2011,Argentina,public,58781269,Humanitarian Law and Action
2006,Albania,public,22330,Health
2005,Mongolia,public,20165.80775,"Labour, Economic Affairs, Science"
2021,Sweden,public,5600000,Health
2008,Botswana,public,107.1009796,"Labour, Economic Affairs, Science"
2020,NA,private,2412045,Humanitarian Law and Action
2020,Canada,public,1950000,Health
2020,France,public,2146801.964,Health
2017,Luxembourg,public,2100500,Health
2017,Malta,public,103086,Humanitarian Law and Action
2017,Albania,public,11572.14642,"Labour, Economic Affairs, Science"
2011,Australia,public,929388.4749,Humanitarian Law and Action
2018,Finland,public,7500,Health
2018,International Agency for the Prevention of Blindness (IAPB),private,35500,Health
2016,Christoffel-Blindenmission,private,600000,Health
2003,RPH-Promotor Stiftung,private,276413.8593,Humanitarian Law and Action
2000,Lithuania,public,1336.417891,Humanitarian Law and Action
2007,Azerbaijan,public,10645.91966,Humanitarian Law and Action
2020,Kenya,public,2000000,Health
2018,Switzerland,public,636711.1403,Humanitarian Law and Action
2019,Belgium,public,15542051,Humanitarian Law and Action
2013,Morocco,public,26693.16348,Humanitarian Law and Action
2013,Tajikistan,public,935.3719479,Humanitarian Law and Action
2017,Bhutan,public,4650,Health
2019,Luxembourg,public,268602,Humanitarian Law and Action
2015,Uruguay,public,104972.9785,Humanitarian Law and Action
2016,Vanuatu,public,2539.426389,Peace
2015,Thailand,public,2390981.327,"Labour, Economic Affairs, Science"
2013,Ecuador,public,6146.267575,"Labour, Economic Affairs, Science"
2018,Gilead Sciences Inc.,private,28500,Health
2021,Rotary Foundation,private,2000,Health
2002,Antigua and Barbuda,public,2182.963096,Peace
2001,Finland,public,5888251.764,Humanitarian Law and Action
2004,NA,private,634000,Health
2016,Lebanon,public,116627.9339,Peace
2018,Estonia,public,90987,Humanitarian Law and Action
2005,Latvia,public,68563.74636,"Labour, Economic Affairs, Science"
2016,Sackler Institute For Nutrition Science,private,33000,Health
2016,Belgium,public,4535597,Health
2015,Malta,public,72548,Humanitarian Law and Action
2015,Netherlands,public,710409.9104,"Labour, Economic Affairs, Science"
2016,Athena Institute,private,48500,Health
2020,Belgium,public,1000000,Health
2009,El Salvador,public,10000,Humanitarian Law and Action
2010,China,public,11720975.81,"Labour, Economic Affairs, Science"
2013,Moldova,public,7808.791417,"Labour, Economic Affairs, Science"
2015,Zimbabwe,public,7678.871466,"Labour, Economic Affairs, Science"
2015,Bolivia,public,81256.79954,"Labour, Economic Affairs, Science"
2019,NA,private,27601051,Humanitarian Law and Action
2016,Slovenia,public,88707,Humanitarian Law and Action
2000,European Union,public,136818,Humanitarian Law and Action
2009,Lithuania,public,432313,Humanitarian Law and Action
2011,Georgia,public,54698.98946,"Labour, Economic Affairs, Science"
2013,Chad,public,1536.297179,"Labour, Economic Affairs, Science"
2009,Madagascar,public,5789.685537,Humanitarian Law and Action
2005,New Zealand,public,392250,Humanitarian Law and Action
2019,Vietnam,public,218460.2737,Peace
2011,Vietnam,public,144477.4008,"Labour, Economic Affairs, Science"
2010,New Zealand,public,954367.8913,"Labour, Economic Affairs, Science"
2006,Switzerland,public,5345300,Health
2009,Gambia,public,2545.157942,Peace
2013,Lithuania,public,191871.9534,Peace
2019,Portugal,public,777062.2123,"Labour, Economic Affairs, Science"
2016,Bolivia,public,30335.00251,Peace
2016,Saint Lucia,public,2539.426389,Peace
2020,Bangladesh,public,31.95245475,Humanitarian Law and Action
2005,Uruguay,public,67219.35918,"Labour, Economic Affairs, Science"
2017,Fundacion Anesvad,private,55000,Health
2011,India,public,102650.5503,"Labour, Economic Affairs, Science"
2002,Benin,public,13675.67321,"Labour, Economic Affairs, Science"
2015,Spain,public,21978,Humanitarian Law and Action
2017,Argentina,public,92575.14025,"Labour, Economic Affairs, Science"
2018,South Korea,public,1950000,Health
2008,NA,NA,141664000,Health
2016,Paraguay,public,2891.229295,"Labour, Economic Affairs, Science"
2008,Taiwan,public,520270.707,Humanitarian Law and Action
2011,Belgium,public,516853.9326,Humanitarian Law and Action
2010,Economic Community of West African States (ECOWAS),public,4105198,Humanitarian Law and Action
2020,Portugal,public,284249.0374,Humanitarian Law and Action
2019,Australia,public,5750000,Health
2006,NA,private,148,Humanitarian Law and Action
